,Unnamed: 0,BakerStreet,Bayswater,BondStreet,CharingCross,CoventGarden,EdgwareRoad(Bak),EdgwareRoad(Cir),Embankment,GreatPortlandStreet,GreenPark,HydeParkCorner,LancasterGate,LeicesterSquare,MaidaVale,MarbleArch,Marylebone,OxfordCircus,Paddington,PiccadillyCircus,Pimlico,Queensway,RegentsPark,RoyalOak,St.JamessPark,St.JohnsWood,Temple,TottenhamCourtRoad,Victoria,WarwickAvenue,Westminster,geometry,FROM STATION,FROM Zone,zone
15,15,0.0,0.0,0.0,0.0,36.0,0.0,0.0,19.0,0.0,25.0,40.0,0.0,76.0,0.0,0.0,0.0,0.0,23.0,43.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,POINT (-0.213430145 51.49022868),BaronsCourt,2,2
16,16,0.0,0.0,0.0,0.0,9.0,0.0,0.0,40.0,10.0,0.0,13.0,0.0,0.0,17.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,POINT (-0.187901574 51.51211129),Bayswater,1,1
17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (0.126880292 51.53958541),Becontree,5,5
18,18,13.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,POINT (-0.163974493 51.55019088),BelsizePark,2,2
19,19,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,POINT (-0.06433009000000001 51.49796078),Bermondsey,2,2
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,0.0,0.0,POINT (-0.055392112 51.52719174),BethnalGreen,2,2
21,21,54.0,25.0,0.0,0.0,0.0,0.0,0.0,56.0,21.0,0.0,0.0,0.0,0.0,74.0,0.0,104.0,0.0,26.0,0.0,13.0,0.0,128.0,0.0,60.0,0.0,0.0,0.0,427.0,0.0,3.0,POINT (-0.102995385 51.51158693),Blackfriars,1,1
22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,47.0,0.0,0.0,POINT (-0.039625712 51.58577663),BlackhorseRoad,3,3
23,23,63.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,60.0,32.0,193.0,72.0,44.0,0.0,8.0,36.0,132.0,73.0,47.0,104.0,0.0,41.0,18.0,193.0,6.0,44.0,223.0,12.0,69.0,POINT (-0.14961361 51.51379752),BondStreet,1,1
24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.09419732300000001 51.50104887),Borough,1,1
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.324747189 51.49576554),BostonManor,4,4
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.124177066 51.60703192),BoundsGreen,"3,4",3
27,27,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,30.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,POINT (-0.024359591 51.52704181),BowRoad,2,2
28,28,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,POINT (-0.213335841 51.57659922),BrentCross,3,3
29,29,10.0,5.0,7.0,0.0,44.0,0.0,0.0,11.0,0.0,143.0,3.0,0.0,68.0,0.0,25.0,0.0,269.0,76.0,53.0,40.0,0.0,1.0,14.0,0.0,30.0,0.0,0.0,416.0,0.0,0.0,POINT (-0.114552098 51.46273679999999),Brixton,2,2
30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.011682374 51.5248402),Bromley-by-Bow,"2,3",2
31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,POINT (0.046712541 51.62657666),BuckhurstHill,5,5
32,32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,79.0,15.0,0.0,0.0,POINT (-0.264330712 51.60255191),BurntOak,4,4
33,33,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,6.0,1.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.118360862 51.54788544),CaledonianRoad,2,2
34,34,0.0,0.0,0.0,154.0,17.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,135.0,6.0,0.0,0.0,78.0,67.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,429.0,209.0,4.0,13.0,POINT (-0.142452381 51.53996935),CamdenTown,2,2
35,35,60.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,13.0,178.0,0.0,33.0,218.0,0.0,0.0,0.0,38.0,82.0,0.0,29.0,33.0,0.0,0.0,10.0,56.0,0.0,0.0,58.0,0.0,13.0,POINT (-0.050807121 51.49816841),CanadaWater,2,2
36,36,280.0,0.0,328.0,0.0,36.0,45.0,0.0,27.0,23.0,216.0,19.0,67.0,117.0,54.0,7.0,124.0,69.0,182.0,124.0,65.0,97.0,0.0,14.0,41.0,155.0,0.0,192.0,324.0,23.0,174.0,POINT (-0.01946684 51.50357839999999),CanaryWharf,2,2
